Energy_0S,Energy_FS,Err_relS,Energy_0E,Energy_FE,Err_relE,Energy_0L,Energy_FL,Err_relL,Delta t
-188458.5008,-191073.5171,0.01387582038,-188392.9339,-186618.2822,0.00941994846,-187457.417,-188742.6691,0.006856234844,0.05
-188097.7271,-187700.5671,0.002111455179,-187456.3452,-187919.3914,0.002470154769,-188063.3383,-191608.685,0.01885187551,0.1
-186799.8175,-192821.0698,0.03223371624,-186297.953,-189758.0757,0.01857305805,-185995.5729,-188214.1559,0.0119281496,0.2
-184763.6339,-188074.5607,0.0179197973,-189553.1673,-193847.8113,0.02265667221,-190028.5895,-190289.8232,0.001374707668,0.4
-187585.5085,-194245.3464,0.03550294459,-184402.1633,-189538.1328,0.02785200249,-185325.3617,-189518.4618,0.02262561358,0.8
-189031.8575,-189662.8025,0.003337770423,-187461.9348,-193912.0633,0.03440767079,-187772.1926,-195657.4295,0.04199363486,1.6
-185487.2844,-193544.2376,0.04343668758,-185469.1479,-190700.9466,0.02820845807,-187679.2722,-197022.8396,0.04978475899,3.2
