Energy,Time,Energy (normalised)
-14.758475,0,1
-14.759358,0.1,1.00005983
-14.765578,0.2,1.000481283
-14.782494,0.3,1.001627472
-14.805856,0.4,1.003210427
-14.792251,0.5,1.002288583
-14.809921,0.6,1.003485862
-14.810082,0.7,1.00349677
-14.810376,0.8,1.003516691
-14.80765,0.9,1.003331984
