Energy,Time,Energy (normalised)
-13.65737,0,1
-13.657676,0.1,1.000022405
-13.659882,0.2,1.00018393
-13.66586,0.3,1.000621642
-13.677568,0.4,1.001478908
-13.697122,0.5,1.002910663
-13.726924,0.6,1.005092781
-13.769868,0.7,1.008237164
-13.829673,0.8,1.012616119
-13.911396,0.9,1.018599921
